15:52:45 | INFO     | workshop:setup_logger:57 | ============================================================
15:52:45 | INFO     | workshop:setup_logger:58 | Workshop session started at 2025-12-14T15:52:45.876832
15:52:45 | INFO     | workshop:setup_logger:59 | Log file: /home/bron/FlyingTiger/Workshop_Assistant_Dev/data/logs/workshop_20251214_155245.log
15:52:45 | INFO     | workshop:setup_logger:60 | ============================================================
15:52:47 | DEBUG    | workshop.memory:_init_sqlite:128 | SQLite initialized
15:52:47 | INFO     | workshop.memory:_init_chroma:149 | ChromaDB initialized with 2028 documents
15:52:47 | DEBUG    | workshop.memory:_load_index_cache:162 | Loaded index cache: 0 files
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: read_file
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: write_file
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: list_directory
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: search_files
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: run_shell
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: remember
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: recall
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: take_note
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: list_notes
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: get_current_time
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: calculate
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: web_search
15:52:47 | INFO     | workshop.tools:register_default_tools:652 | Registered 12 tools
15:52:47 | INFO     | workshop.context:__init__:118 | Context awareness initialized for Linux
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: get_dev_context
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: list_connected_devices
15:52:47 | INFO     | workshop.tools:register_default_tools:705 | Registered context awareness tools
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: show_file
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: show_directory
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: create_note
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: show_chart
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: show_terminal
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: show_markdown
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: close_construct
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: close_all_constructs
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: list_constructs
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: move_construct
15:52:47 | INFO     | workshop.construct_tools:register_construct_tools:268 | Registered 9 construct tools
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: work_on
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: project_note
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: what_project
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: list_projects
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: session_summary
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: last_session
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: arduino_compile
15:52:47 | DEBUG    | workshop.tools:register:158 | Registered tool: arduino_upload
